,AD_GRUPOECONOMICO,AD_CODUNNEG,DESCRICAO,SEGMENTO
2168,IND. DE ARTEFATOS DE BORRACHA WOLF LTDA,1.0,INDUSTRIAL,BORRACHAS | AUTOMOTIVO - BORRACHAS
2169,IND. E COM. DE PRODUTOS BELEZA YAMA LTDA,2.0,LIFE & PERSONAL CARE,PERSONAL CARE | BATH & SHOWER
2170,INDUSTRIA DE PLAST SAO SEBASTIAO LTDA,1.0,INDUSTRIAL,PLÁSTICOS | Acrílico
2171,ROYAL MARCK COMERCIAL LTDA.,1.0,INDUSTRIAL,
2172,DI HELLEN INDUSTRIA DE COSMETICOS LTDA.,2.0,LIFE & PERSONAL CARE,PERSONAL CARE | Skin Care
2173,GLITTER INDUSTRIA COM IMP E EXPORTAÇÃO LTDA,2.0,LIFE & PERSONAL CARE,PERSONAL CARE | BATH & SHOWER
2174,RETENGAX VEDACOES TECNICAS LTDA,2.0,LIFE & PERSONAL CARE,PERSONAL CARE | Hair Care
2175,PISOM INDUSTRIA DE COSMETICOS LTDA,2.0,LIFE & PERSONAL CARE,PERSONAL CARE | Hair Care
2176,SPILLER COMERCIO E INDUSTRIA LTDA.,2.0,LIFE & PERSONAL CARE,PERSONAL CARE | Hair Care
2177,BELGO ALONSO PLASTICOS LTDA.,1.0,INDUSTRIAL,PLÁSTICOS | Acrílico
2178,PINNA - CIA LTDA.,2.0,LIFE & PERSONAL CARE,PERSONAL CARE | Hair Care
2179,NOVA DAMPEX INDUSTRIAL LTDA,2.0,LIFE & PERSONAL CARE,PERSONAL CARE | Hair Care
2180,CHEMIPOL INDUSTRIAL LTDA,2.0,LIFE & PERSONAL CARE,PERSONAL CARE | BATH & SHOWER
2181,YANIH PRODS COSMETICOS E FARMAC LTDA,2.0,LIFE & PERSONAL CARE,
2182,YUAN LIANG INDUSTRIA E COMERCIO LTDA,2.0,LIFE & PERSONAL CARE,PERSONAL CARE | Hair Care
2183,BRASILUSO IND. E COM DE COSMETICOS LTDA,2.0,LIFE & PERSONAL CARE,PERSONAL CARE | Hair Care
2184,KURYOS IND. E COM. DE COSMETICOS LTDA,2.0,LIFE & PERSONAL CARE,PERSONAL CARE | Hair Care
2185,COTAIT RUGGI COM.IMP.EXP.LTDA,2.0,LIFE & PERSONAL CARE,PERSONAL CARE | Hair Care
2186,GRUPO RUBBERART,1.0,INDUSTRIAL,BORRACHAS | AUTOMOTIVO - BORRACHAS
2187,SERED INDUSTRIAL S/A,2.0,LIFE & PERSONAL CARE,PERSONAL CARE | Hair Care
2188,SERIGRAVE COM DE PLACAS E GRAV. LTDA,2.0,LIFE & PERSONAL CARE,PERSONAL CARE | Hair Care
2189,GRUPO RHODIA,1.0,INDUSTRIAL,PLÁSTICOS | Acrílico
2190,RITZ DO BRASIL S/A,2.0,LIFE & PERSONAL CARE,PERSONAL CARE | Hair Care
2191,TAMA INDUSTRIA DE MAQUINAS LTDA,2.0,LIFE & PERSONAL CARE,PERSONAL CARE | Hair Care
2192,TIRRENO INDUSTRIA E COMERCIO DE PRODUTOS QUMICOS LTDA,1.0,INDUSTRIAL,METALWORKING | Adesivos para metal-borracha
2193,GRUPO SABO,1.0,INDUSTRIAL,BORRACHAS | AUTOMOTIVO - BORRACHAS
2194,SANAJ INDUSTRIAL LTDA,2.0,LIFE & PERSONAL CARE,PERSONAL CARE | Hair Care
2195,STEEL COMPANY INDUSTRIA E COMERCIO LTDA,2.0,LIFE & PERSONAL CARE,PERSONAL CARE | Hair Care
2196,G.B. TRATORES E PECAS LTDA.,2.0,LIFE & PERSONAL CARE,PERSONAL CARE | Hair Care
2197,I P E C - INDUSTRIA DE PERFUMES E COSMESTICOS LTDA,2.0,LIFE & PERSONAL CARE,PERSONAL CARE | BATH & SHOWER
2198,QUAKER CHEMICAL INDUSTRIA E COMERCIO LTDA,1.0,INDUSTRIAL,METALWORKING | Adesivos para metal-borracha
2199,IMPORTADORA QUIMICA DELAWARE LTDA.,2.0,LIFE & PERSONAL CARE,PERSONAL CARE | Hair Care
2200,IRMAOS PEDRO INDUSTRIA E COMERCIO LTDA.,2.0,LIFE & PERSONAL CARE,HOUSEHOLD | MULTICATEGORIA - HOUSEHOLD
2201,RODOFITAS IND. E COM. LTDA.,2.0,LIFE & PERSONAL CARE,PERSONAL CARE | Hair Care
2202,DIMETIL QUIMICA LTDA,2.0,LIFE & PERSONAL CARE,PERSONAL CARE | Hair Care
2203,FIO DENT IND. COM. LTDA. ME.,2.0,LIFE & PERSONAL CARE,PERSONAL CARE | Hair Care
2204,LUVEX QUIMICA IND.DE EQUIPAMENTOS DE PROTEÇÃO LTDA,1.0,INDUSTRIAL,HOUSEHOLD | Desinfetante
2205,GOTA DOURADA,2.0,LIFE & PERSONAL CARE,PERSONAL CARE | Hair Care
2206,SUMIRIKO DO BRASIL IND DE BORRACHAS LTDA,1.0,INDUSTRIAL,BORRACHAS | AUTOMOTIVO - BORRACHAS
2207,GRUPO COSMOTEC,2.0,LIFE & PERSONAL CARE,PERSONAL CARE | Hair Care
2208,GRUPO WINDAUTO,2.0,LIFE & PERSONAL CARE,HOUSEHOLD | Desinfetante
2209,EXTRATOS FLORA IND. DE COSMETICOS LTDA.,2.0,LIFE & PERSONAL CARE,PERSONAL CARE | Hair Care
2210,QUIMPER COMERCIO DE PROD. QUIMICOS LTDA.,1.0,INDUSTRIAL,I&I – INDUSTRIAL & INSTITUCIONAL | Autocare
2211,LONDRILIMP DISTR. DE PRODS. E EQUIP. DE,1.0,INDUSTRIAL,I&I – INDUSTRIAL & INSTITUCIONAL | Autocare
2212,NATIVA BIOCOSMETICOS IND. COM. LTDA.,2.0,LIFE & PERSONAL CARE,PERSONAL CARE | Hair Care
2213,GRUPO COSMEX,2.0,LIFE & PERSONAL CARE,PERSONAL CARE | Hair Care
2214,AGRESTE COSMETICA BRASIL LTDA,2.0,LIFE & PERSONAL CARE,PERSONAL CARE | BATH & SHOWER
2215,FARMACOTECNICA LTDA.,2.0,LIFE & PERSONAL CARE,PERSONAL CARE | Hair Care
2216,ISWARA IND COMERCIO PRODUTOS QUIMICOS LTDA,2.0,LIFE & PERSONAL CARE,PERSONAL CARE | OUTROS - PERSONAL CARE
2217,BEIERSDORF INDUSTRIA E COMERCIO LTDA,2.0,LIFE & PERSONAL CARE,PERSONAL CARE | BATH & SHOWER
2218,PROSPERA COMERCIAL INDUSTRIA EXPORTADORA,2.0,LIFE & PERSONAL CARE,PERSONAL CARE | Hair Care
2219,GRUPO GFG,2.0,LIFE & PERSONAL CARE,PERSONAL CARE | BATH & SHOWER
2220,LIGNE NATUREL COSM. E PERFUMARIA LTDA.,2.0,LIFE & PERSONAL CARE,PERSONAL CARE | Hair Care
2221,N - MAKTOUB INDUSTRIA E COMERCIO S/A.,2.0,LIFE & PERSONAL CARE,PERSONAL CARE | Hair Care
2222,MEDIAN INDUSTRIA E COMERCIO LTDA.,2.0,LIFE & PERSONAL CARE,PERSONAL CARE | Skin Care
2223,GRUPO BEIRA ALTA,2.0,LIFE & PERSONAL CARE,PERSONAL CARE | Hair Care
2224,SINTERCOLOR DO BRASIL LTDA-EPP,2.0,LIFE & PERSONAL CARE,PERSONAL CARE | Hair Care
2225,TECNOCUBA INDUSTRIA E COMERCIO LTDA.,2.0,LIFE & PERSONAL CARE,PERSONAL CARE | Hair Care
2226,SIGNA INDUSTRIAL LTDA.,2.0,LIFE & PERSONAL CARE,PERSONAL CARE | Hair Care
2227,"MEDIA PHYSICS GROUP INTERNACIONAL, IMP.EXP.LTDA.",2.0,LIFE & PERSONAL CARE,PERSONAL CARE | Hair Care
2228,GRUPO ECOLAB,2.0,LIFE & PERSONAL CARE,PERSONAL CARE | Hair Care
2229,MERCK SHARP - DOHME SAUDE ANIMAL LTDA,2.0,LIFE & PERSONAL CARE,PERSONAL CARE | Hair Care
2230,GLOBO DO BRASIL IND.COM.PROD DE LIMP LTDA,2.0,LIFE & PERSONAL CARE,
2231,LABORATORIO BRASILEIRO DE BIOLOGIA LTDA.,2.0,LIFE & PERSONAL CARE,PERSONAL CARE | BATH & SHOWER
2232,ALBANY INTERNATIONAL FELTROS E TELAS IND. LTDA,1.0,INDUSTRIAL,
2233,HASTEN IND.COM.DE ESPECIALIDADES QUÍMICAS LTDA,1.0,INDUSTRIAL,I&I – INDUSTRIAL & INSTITUCIONAL | Autocare
2234,LIMED LAB.INDL.DE MEDICAMENTOS LTDA.,2.0,LIFE & PERSONAL CARE,PERSONAL CARE | BATH & SHOWER
2235,ÁGUIA SISTEMAS DE ARMAZENAGEM LTDA.,1.0,INDUSTRIAL,
2236,"STARLUX IND. COM. MAT.DE LIMPEZA, HIG.E CONSERV.LTDA.",2.0,LIFE & PERSONAL CARE,HOUSEHOLD | Desinfetante
2237,ADRIVAN COMERCIO IMP. E REPRESENTACOES LTDA.,2.0,LIFE & PERSONAL CARE,PERSONAL CARE | Hair Care
2238,CRESPI DO BRASIL LTDA,1.0,INDUSTRIAL,
2239,C R HOZELLO BUONA COSMETICOS LTDA.,2.0,LIFE & PERSONAL CARE,PERSONAL CARE | BATH & SHOWER
2240,DIVERSEY BRASIL INDUSTRIA QUIMICA LTDA,1.0,INDUSTRIAL,
2241,JAC DO BRASIL IND. E COM. DE PRODUTOS AU,2.0,LIFE & PERSONAL CARE,PERSONAL CARE | Hair Care
2242,BELFAR LTDA,3.0,FOOD & NUTRITION,
2243,T Q A INDUSTRIA E COMERCIO LTDA.,2.0,LIFE & PERSONAL CARE,PERSONAL CARE | Hair Care
2244,KARSTEN S.A,1.0,INDUSTRIAL,TÊXTIL | Têxtil
2245,GRUPO COLEP,2.0,LIFE & PERSONAL CARE,
2246,CLEAN CAR PRODUTOS DE LIMPEZA AUTOMOTIVA LTDA.,2.0,LIFE & PERSONAL CARE,HOUSEHOLD | Desinfetante
2247,MAGOSTINI S/A,2.0,LIFE & PERSONAL CARE,PERSONAL CARE | Hair Care
2248,WACKER,2.0,LIFE & PERSONAL CARE,
2249,NEWS QUIMICA SÃO PAULO LTDA.,2.0,LIFE & PERSONAL CARE,PERSONAL CARE | Hair Care
2250,LACYR BORRACHAS E VEDAÇÕES LTDA.,1.0,INDUSTRIAL,
2251,GRUPO AUTOFRAN,2.0,LIFE & PERSONAL CARE,HOUSEHOLD | Desinfetante
2252,CLOROETIL SOLVENTES ACETICOS S/A,2.0,LIFE & PERSONAL CARE,PERSONAL CARE | Hair Care
2253,DINAFLEX IND. DE ARTEFATOS DE BORRACHA LTDA.,1.0,INDUSTRIAL,
2254,MARINE PRODUCTION SYSTEMS DO BRASIL LTDA,1.0,INDUSTRIAL,
2255,INDEBA IND. E COMERCIO LTDA.,2.0,LIFE & PERSONAL CARE,HOUSEHOLD | Desinfetante
2256,AUTOTEX INDUSTRIA E COMERCIO TEXTIL LTDA,2.0,LIFE & PERSONAL CARE,PERSONAL CARE | Hair Care
2257,FLORENCIO DE ABREU LTDA.,2.0,LIFE & PERSONAL CARE,PERSONAL CARE | BATH & SHOWER
2258,MAXIBRASIL INDÚSTRIA DE COSMÉTICOS LTDA.,2.0,LIFE & PERSONAL CARE,PERSONAL CARE | Hair Care
2259,DELL COMPUTADORES DO BRASIL LTDA,1.0,INDUSTRIAL,
2260,NATTI VIDA IND.E COMÉRCIO COSMÉTICO LTDA.,2.0,LIFE & PERSONAL CARE,PERSONAL CARE | Skin Care
2261,PURIFARMA DIST. QUIMICA E FARMACEUTICA LTDA.,2.0,LIFE & PERSONAL CARE,PERSONAL CARE | BATH & SHOWER
2262,GRUPO DE SÍRIUS,2.0,LIFE & PERSONAL CARE,PERSONAL CARE | BATH & SHOWER
2263,SHAMPOO IND.E COM. DE COSMETICOS EIRELLI-EPP,2.0,LIFE & PERSONAL CARE,PERSONAL CARE | Hair Care
2264,TRILIMP COMERCIO PRODUTOS DE LIMPEZA LTDA,2.0,LIFE & PERSONAL CARE,HOUSEHOLD | Desinfetante
2265,AÇÃO BELEZA INDUSTRIA E COMERCIO DE COSMETICOS LTDA,2.0,LIFE & PERSONAL CARE,PERSONAL CARE | Hair Care
2266,PETALAS COSMETICOS INDUSTRIA E COMERCIO LTDA,2.0,LIFE & PERSONAL CARE,PERSONAL CARE | Hair Care
2267,ARJ CHEMICALS DO BRASIL LTDA,2.0,LIFE & PERSONAL CARE,PERSONAL CARE | Hair Care
2268,VALIN INDUSTRIA E COMÉRCIO LTDA.,1.0,INDUSTRIAL,
2269,LEMOS E RAGO LTDA.,2.0,LIFE & PERSONAL CARE,PERSONAL CARE | BATH & SHOWER
2270,DISTRIBUIDORA AMARAL LTDA.,2.0,LIFE & PERSONAL CARE,PERSONAL CARE | BATH & SHOWER
2271,ANJO QUIMICA DO BRASIL LTDA,1.0,INDUSTRIAL,TINTAS & REVESTIMENTOS | Industrial
2272,BIOTEC COSMÉTICOS INDUSTRIA E COMERCIO LTDA,2.0,LIFE & PERSONAL CARE,PERSONAL CARE | Hair Care
2273,KIROX INDUSTRIA E COMÉRCIO LTDA,2.0,LIFE & PERSONAL CARE,PERSONAL CARE | Hair Care
2274,LRB IND. COMÉRCIO PRODUTOS QUIMICOS LTDA,1.0,INDUSTRIAL,ADESIVOS | Hot Melt
2275,L H DUQUE DE CAXIAS COM. PROD. QUIMICOS LTDA,2.0,LIFE & PERSONAL CARE,PERSONAL CARE | Hair Care
2276,EXCEED COSMÉTICOS LTDA,2.0,LIFE & PERSONAL CARE,PERSONAL CARE | Hair Care
2277,GRUPO KALYKYM,2.0,LIFE & PERSONAL CARE,HOUSEHOLD | Desinfetante
2278,QUIMICA INDUSTRIAL CRUZEIRO LTDA,2.0,LIFE & PERSONAL CARE,PERSONAL CARE | Hair Care
2279,MICRO SERVICE IND. QUIMICA LTDA,2.0,LIFE & PERSONAL CARE,PERSONAL CARE | Hair Care
2280,GMM EMBALAGENS INDUSTRIAIS S/A,2.0,LIFE & PERSONAL CARE,PERSONAL CARE | Hair Care
2281,NEW BELLE PRODUTOS DE BELEZA LTDA,2.0,LIFE & PERSONAL CARE,PERSONAL CARE | BATH & SHOWER
2282,BRASIL GLOBAL COSMÉTICOS LTDA,2.0,LIFE & PERSONAL CARE,PERSONAL CARE | Hair Care
2283,LARKIN BRASIL LTDA.,2.0,LIFE & PERSONAL CARE,PERSONAL CARE | Hair Care
2284,TANISS IND. E COMERCIO DE COSMETICOS LTD,2.0,LIFE & PERSONAL CARE,PERSONAL CARE | BATH & SHOWER
2285,D F M INDÚSTRIA QUÍMICA LTDA,1.0,INDUSTRIAL,
2286,REDEVISÃO LTDA - ME,2.0,LIFE & PERSONAL CARE,PERSONAL CARE | Hair Care
2287,AGI - ARMAZENS GERIAS E LOGISTICA INTEGRADAS LTDA,2.0,LIFE & PERSONAL CARE,PERSONAL CARE | Hair Care
2288,M M PIRES (CARIBÉ PRODS. QUIMICOS),2.0,LIFE & PERSONAL CARE,PERSONAL CARE | BATH & SHOWER
2289,CLEAN BRAZIL LTDA,1.0,INDUSTRIAL,
2290,BRASCO FARMACEUTICA LTDA,2.0,LIFE & PERSONAL CARE,PERSONAL CARE | BATH & SHOWER
2291,DIPROL QUÍMICA LTDA,2.0,LIFE & PERSONAL CARE,PERSONAL CARE | BATH & SHOWER
2292,TRÊS R PLÁSTICOS INDUSTRIAIS LTDA,1.0,INDUSTRIAL,PLÁSTICOS | Acrílico
2293,COLAMELT INDUSTRIAL LTDA,2.0,LIFE & PERSONAL CARE,PERSONAL CARE | Hair Care
2294,DBE NATURAL DO BRASIL IND. COM. IMP. EXP.LTDA,2.0,LIFE & PERSONAL CARE,PERSONAL CARE | Hair Care
2295,QUIMIFORT INDÚSTRIA E COMÉRCIO LTDA,2.0,LIFE & PERSONAL CARE,HOUSEHOLD | Desinfetante
2296,A-3 COMÉRCIO E SERVIÇOS DE REVEST. EM CILINDROS LTDA,2.0,LIFE & PERSONAL CARE,PERSONAL CARE | Hair Care
2297,WELPOL IND. E COM. TINTAS LTDA - ME,1.0,INDUSTRIAL,TINTAS & REVESTIMENTOS | Industrial
2298,MARTINO E VICENZO LTDA (YNDAC),1.0,INDUSTRIAL,TINTAS & REVESTIMENTOS | OUTROS - TINTAS
2299,OSMAR GUIMARÃES,2.0,LIFE & PERSONAL CARE,PERSONAL CARE | Hair Care
2300,PAPRYKA COSMÉTICOS LTDA,2.0,LIFE & PERSONAL CARE,PERSONAL CARE | Hair Care
2301,DIERI PRODUTOS PARA COURO LTDA,1.0,INDUSTRIAL,DISTRIBUIÇÃO | Revenda
2302,CORR PLASTIK INDUSTRIAL LTDA,1.0,INDUSTRIAL,PLÁSTICOS | Acrílico
2303,MAZZON NATURE IND. COM. DE COSMETICOS LTDA,2.0,LIFE & PERSONAL CARE,PERSONAL CARE | Hair Care
2304,ZNC IND E COM DE PRODUTOS QUIMICOS LTDA - EPP,2.0,LIFE & PERSONAL CARE,HOUSEHOLD | Desinfetante
2305,GILMARA REGINA DOS SANTOS,1.0,INDUSTRIAL,
2306,BIO COSMETICA INDUSTRIAL LTDA - ME,2.0,LIFE & PERSONAL CARE,PERSONAL CARE | Hair Care
2307,KAPY COMERCIO DE COSMETICOS E REPRESENTACOES LTDA,2.0,LIFE & PERSONAL CARE,PERSONAL CARE | Hair Care
2308,VILELA TORRES E ZIMINIANI LTDA,2.0,LIFE & PERSONAL CARE,PERSONAL CARE | Hair Care
2309,SPAAL INDUSTRIA E COMERCIO LTDA,1.0,INDUSTRIAL,BORRACHAS | AUTOMOTIVO - BORRACHAS
2310,COLORTECH DA AMAZONIA LTDA,1.0,INDUSTRIAL,PLÁSTICOS | Acrílico
2311,SAMUEL AURELIANO,2.0,LIFE & PERSONAL CARE,PERSONAL CARE | Hair Care
2312,ESSENCIS CO-PROCESSAMENTO E INCINERAÇÃO LTDA,2.0,LIFE & PERSONAL CARE,PERSONAL CARE | Hair Care
2313,AUTOMOTIVA IND.E COM.DE MATERAIS DE LIMPEZA LTDA,2.0,LIFE & PERSONAL CARE,HOUSEHOLD | Desinfetante
2314,RANAY INDUSTRIA E COMERCIO DE COSMÉTICOS LTDA,2.0,LIFE & PERSONAL CARE,PERSONAL CARE | Hair Care
2315,VMC PRODUTOS QUIMICOS IMP E EXP LTDA,2.0,LIFE & PERSONAL CARE,PERSONAL CARE | Hair Care
2316,CATION INDUSTRIA E COMERCIO LTDA,1.0,INDUSTRIAL,METALWORKING | Adesivos para metal-borracha
2317,PLEURIMAX ORDEP IND.E COM. DE SANEAMENTOS LTDA-EPP,2.0,LIFE & PERSONAL CARE,HOUSEHOLD | Gel (de queima e outros)
2318,PERMATTI INDÚSTRIA E COMÉRCIO DE PLÁSTICOS LTDA,1.0,INDUSTRIAL,PLÁSTICOS | Acrílico
2319,EVALAR ABC QUIMICA LTDA - EPP,2.0,LIFE & PERSONAL CARE,I&I – INDUSTRIAL & INSTITUCIONAL | Outros - I&I
2320,OLDIN INDUSTRIA E COMERCIO DE GRAMPOS E FITAS ADESIVAS LTDA,1.0,INDUSTRIAL,
2321,TEDE TRANSPORTES LTDA,2.0,LIFE & PERSONAL CARE,PERSONAL CARE | Hair Care
2322,DINALCO INDÚSTRIA E COMÉRCIO LTDA,2.0,LIFE & PERSONAL CARE,HOUSEHOLD | Desinfetante
2323,BONATTO INDUSTRIA E COMERCIO DE COSMETICOS LTDA,2.0,LIFE & PERSONAL CARE,PERSONAL CARE | Hair Care
2324,CITRINITAS EIRELI,2.0,LIFE & PERSONAL CARE,PERSONAL CARE | Hair Care
2325,JOÃO BOSCO SANTANA JUNIOR,2.0,LIFE & PERSONAL CARE,PERSONAL CARE | Hair Care
2326,GRUPO NEOCOSMETICA/FLORACTIVE,2.0,LIFE & PERSONAL CARE,PERSONAL CARE | BATH & SHOWER
2327,MULTI MIX ELASTÔMEROS IND. E COM. LTDA,1.0,INDUSTRIAL,BORRACHAS | AUTOMOTIVO - BORRACHAS
2328,MCS COSMÉTICOS LTDA,2.0,LIFE & PERSONAL CARE,PERSONAL CARE | Hair Care
2329,ADRIANO INFANTE,2.0,LIFE & PERSONAL CARE,PERSONAL CARE | Hair Care
2330,WAGNER LUIZ CORREA,2.0,LIFE & PERSONAL CARE,PERSONAL CARE | Hair Care
2331,ACRILEX TINTAS ESPECIAIS S/A,1.0,INDUSTRIAL,TINTAS & REVESTIMENTOS | Artísticas
2332,SUZANA ALMEIDA DA SILVA,2.0,LIFE & PERSONAL CARE,PERSONAL CARE | Hair Care
2333,VILELA TORRES E ZIMINIANI LTDA ME,2.0,LIFE & PERSONAL CARE,PERSONAL CARE | Hair Care
2334,ALIANÇA PAPEIS INDÚSTRIA E COMERCIO LTDA,2.0,LIFE & PERSONAL CARE,HOUSEHOLD | Desinfetante
2335,SIMON C. LEVI COSMETICOS E PERFUMES - EPP,2.0,LIFE & PERSONAL CARE,PERSONAL CARE | BATH & SHOWER
2336,CAPILLARE IND E COM DE COSMETICOS LTDA,2.0,LIFE & PERSONAL CARE,PERSONAL CARE | Hair Care
2337,LEV TERMOPLASTICOS LTDA,1.0,INDUSTRIAL,PLÁSTICOS | Acrílico
2338,"TRIPLICE COMERCIO,IMP E EXP DE PIGMENTOS E CORANTES LTDA",1.0,INDUSTRIAL,TINTAS & REVESTIMENTOS | Industrial
2339,GRUPO AGUSS,2.0,LIFE & PERSONAL CARE,PERSONAL CARE | Hair Care
2340,DOG UNION IND E COM DE PRODUTOS VETERINARIOS LTDA-EPP,2.0,LIFE & PERSONAL CARE,PERSONAL CARE | Hair Care
2341,GIVANILDO ESTEFANELI - ME,2.0,LIFE & PERSONAL CARE,
2342,GRUPO CRUZEIRO,2.0,LIFE & PERSONAL CARE,PERSONAL CARE | BATH & SHOWER
2343,IPCLIN - INSTITUTO DE PESQUISA CLINICA INTEGRADA LTDA,2.0,LIFE & PERSONAL CARE,PERSONAL CARE | BATH & SHOWER
2344,HOUTREE COMERCIO DE COSMETICOS LTDA,2.0,LIFE & PERSONAL CARE,PERSONAL CARE | Hair Care
2345,BORRACHAS VIPAL S/A,1.0,INDUSTRIAL,BORRACHAS | AUTOMOTIVO - BORRACHAS
2346,OCEAN INDUSTRIA QUÍMICA LTDA.,2.0,LIFE & PERSONAL CARE,
2347,CLEOMAR DILMA SEVERO BURGOS AROMATIZANTES ME,2.0,LIFE & PERSONAL CARE,PERSONAL CARE | BATH & SHOWER
2348,MCJ INDUSTRIA E COMERCIO DE COSMETICOS EIRELI - EPP,2.0,LIFE & PERSONAL CARE,PERSONAL CARE | BATH & SHOWER
2349,MEMPHIS S/A - INDUSTRIAL,1.0,INDUSTRIAL,
2350,LUIZ ANTONIO DE FREITAS,2.0,LIFE & PERSONAL CARE,PERSONAL CARE | Hair Care
2351,PRISCILLA ARAUJO DA SILVA,2.0,LIFE & PERSONAL CARE,PERSONAL CARE | Hair Care
2352,ARCANGEL IND E COM DE COSMÉTICOS LTDA,2.0,LIFE & PERSONAL CARE,PERSONAL CARE | Skin Care
2353,SCREENLOG COM E REPRES DE PROD SER LTDA,2.0,LIFE & PERSONAL CARE,PERSONAL CARE | Hair Care
2354,SPEEDCOLOR MASTERBATCHES IND. MATERIAIS PLASTICOS LTDA EPP,1.0,INDUSTRIAL,PLÁSTICOS | Acrílico
2355,ROSEMARY BASTOS DE AMORIM,1.0,INDUSTRIAL,
2356,BETA INDUSTRIA E COMERCIO DE ARTEFATOS DE BORRACHAS LTDA - M,1.0,INDUSTRIAL,BORRACHAS | AUTOMOTIVO - BORRACHAS
2357,SLEEK COSMETICOS LTDA - ME,2.0,LIFE & PERSONAL CARE,PERSONAL CARE | Hair Care
2358,SONIA BRUNO,2.0,LIFE & PERSONAL CARE,PERSONAL CARE | Hair Care
2359,FLORA PRODUTOS DE HIGIENE E LIMPEZA S.A,2.0,LIFE & PERSONAL CARE,PERSONAL CARE | BATH & SHOWER
2360,VILAÇA E FERREIRA IND. COM. COSMETICOS LTDA,2.0,LIFE & PERSONAL CARE,PERSONAL CARE | Hair Care
2361,TOTAL CLEAN INDUSTRIA E COMERCIO LTD-EPP,2.0,LIFE & PERSONAL CARE,HOUSEHOLD | MULTICATEGORIA - HOUSEHOLD
2362,COVELI INDUSTRIA E COMERCIO LTDA,2.0,LIFE & PERSONAL CARE,PERSONAL CARE | Hair Care
2363,FORMULA ARTESANAL INDUSTRIA DE COSMETICOS LTDA,2.0,LIFE & PERSONAL CARE,PERSONAL CARE | BATH & SHOWER
2364,LUVIPLAST IND DE PIGMENTOS PARA PLASTICOS LTDA,1.0,INDUSTRIAL,PLÁSTICOS | Acrílico
2365,SEIVA DO CAMPO PRODUTOS DE BELEZA NATURAIS LTDA,2.0,LIFE & PERSONAL CARE,PERSONAL CARE | BATH & SHOWER
2366,LABRATORIO LAPRONAT LTDA,2.0,LIFE & PERSONAL CARE,PERSONAL CARE | Hair Care
2367,GRUPO DERMOSENSE,2.0,LIFE & PERSONAL CARE,PERSONAL CARE | BATH & SHOWER
2368,AZZOUL COSMÉTICOS IND. E COM. LTDA,2.0,LIFE & PERSONAL CARE,PERSONAL CARE | Hair Care
2369,FANNY SILVANA DA SILVA ME,2.0,LIFE & PERSONAL CARE,PERSONAL CARE | BATH & SHOWER
2370,PRIZER COSMETICS IND. COM. E DISTRIBUIDORA LTDA,2.0,LIFE & PERSONAL CARE,PERSONAL CARE | BATH & SHOWER
2371,HEDERA INDUSTRIA DE COSMETICOS LTDA,2.0,LIFE & PERSONAL CARE,PERSONAL CARE | Hair Care
2372,FLUORCOLORS PIGMENTOS INDÚSTRIA E COMÉRCIO LTDA,1.0,INDUSTRIAL,DISTRIBUIÇÃO | Revenda
2373,CLIMAO COMERCIO DE ARTIGOS DE CAMA MESA E BANHO LTDA,2.0,LIFE & PERSONAL CARE,PERSONAL CARE | Hair Care
2374,ADDITI COSMÉTICOS LTDA,2.0,LIFE & PERSONAL CARE,PERSONAL CARE | Skin Care
2375,AEROFLEX INDÚSTRIA DE AEROSOL LTDA,2.0,LIFE & PERSONAL CARE,PERSONAL CARE | Hair Care
2376,VINOTAGE VINTAGE COSMÉTICOS LTDA,2.0,LIFE & PERSONAL CARE,PERSONAL CARE | Skin Care
2377,BIOPELE,2.0,LIFE & PERSONAL CARE,PERSONAL CARE | BATH & SHOWER
2378,HERBOFARMA LAB. E COMÉRCIO DE COSM.PROD. LTDA,2.0,LIFE & PERSONAL CARE,PERSONAL CARE | Hair Care
2379,MIYUKI IND E COM DE COSMETICOS EIRELI - EPP,2.0,LIFE & PERSONAL CARE,PERSONAL CARE | Hair Care
2380,QUIMIS APARELHOS CIENTÍFICOS LTDA,2.0,LIFE & PERSONAL CARE,PERSONAL CARE | Hair Care
2381,CLIMAX KOSMETIC LTDA,2.0,LIFE & PERSONAL CARE,PERSONAL CARE | Hair Care
2382,GRUPO EUROAMERICAN,1.0,INDUSTRIAL,I&I – INDUSTRIAL & INSTITUCIONAL | Autocare
2383,AMAURY CRIVELA COSTA E CIA LTDA,2.0,LIFE & PERSONAL CARE,HOUSEHOLD | Desinfetante
2384,INDÚSTRIA DE COSMÉTICOS CARVALHO LTDA,2.0,LIFE & PERSONAL CARE,PERSONAL CARE | Hair Care
2385,MAZA PRODUTOS QUIMICOS LTDA,1.0,INDUSTRIAL,
2386,PALMITEC INDÚSTRIA E COMERCIO LTDA,2.0,LIFE & PERSONAL CARE,PERSONAL CARE | Hair Care
2387,GRUPO NUTRIEX,2.0,LIFE & PERSONAL CARE,PERSONAL CARE | BATH & SHOWER
2388,INDÚSTRIA E COMÉRCIO DE METAIS NICOLINI LTDA,1.0,INDUSTRIAL,METALWORKING | Adesivos para metal-borracha
2389,INDÚSTRIA DE TECIDOS DARONYL LTDA,1.0,INDUSTRIAL,
2390,BUSCHLE ALIMENTOS LTDA,3.0,FOOD & NUTRITION,
